metadataAddress,mintAddress,updateAuthorityAddress,editionNonce,tokenStandard,name,symbol,uri
22zxgdqrQ31Y6HorMfxnSYmmzZZDLzeoVz8v97m2cq3M,DpMwjHVCqyyBFgBMJga25i7k9B47vn2i5o1R5VfWTR7v,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,250,NonFungible,Sneaker #698207054,,https://api.stepn.com/run/nftjson/103/22634935961
3eoaW8QXMqWawoQnkjh3QpLPRFSWByvDuRiA27xHqm1G,AcytGWQd8qd3n8ALvcQp1T23CpMAqVXwcwHZaz5ivQj5,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,STEPN Shoebox #564891328,,https://api.stepn.io/run/nftjson/103/151622535180
FayxrZCfFXdrmBAuoLb1UZ9txe6U45oYL7Syx2W4k9P9,B4U7rYp6naUdxBeV1DBQ2Yx9m3CBsPhzxbnhmWWEFZUt,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,253,NonFungible,Sneaker #590690277,,https://api.stepn.com/run/nftjson/103/116355048269
6jsFVxGhR4R2pj7aQx5UkxnrSzroNwL87aVJZRjmVLtr,2FqNwGcMzk7ZNYFcisy1UFBvSTsTbpyHueASpREypiGa,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #312947021,,https://api.stepn.com/run/nftjson/103/129200828881
BauHqcvhHaYvgwysEzyVHZTL2RuRFXpXQqxZHw9RG8Yk,U8LdbQopiYztLhPyn4KZKjPtn997dG22NBxFcojGaqC,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,253,NonFungible,Sneaker #395436706,,https://api.stepn.com/run/nftjson/103/41299543853
9VZLYDpzDJfi53KZdH8mC6aePBa1pSbqReG11R4F878D,8BLdQ5iH4ffebKKxKWZ9eVo4M5azhipPq3pDacKaTPLa,GH4QhJznKEHHv44AqEH5SUohkUauWyAFtu5u8zUWUKL4,255,,STEPN Shoebox #3505,,https://api.stepn.io/run/nftjson/103/246908528
7YWCdbtQ2wbsWk7UMxXH8aFfeQ4khFFFeeFA6LvRJFpW,9UuWvdh9uHiEmmYQG5hqDDJKnEzjsnpPsEyWZpb7f8uz,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #824250068,,https://api.stepn.com/run/nftjson/103/34223236815
BKfdth1L2iDHZmcPUULPcmKipqERZTnbvm2o2eVcuVpf,8dV2cyfPWaeJ3KAdv6g34AmwsavWqZKbu7SLSJfcZZeW,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #394361904,,https://api.stepn.io/run/nftjson/103/401878321
3RvfMWgFVaXs8iQDWk9rexGGdnVwWJYQFi5PfLt6Qp3q,7JjPfzmz4ei1c7vHGKz6Qf9AgUu3kDjJ3NBPkQ5RHmRN,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #998378502,,https://api.stepn.com/run/nftjson/103/136261458127
EpQcG6Ahhyjq2kXDtmxoBX12iQNGTug2akfkHU1PynHU,FaeeqKtYRpFkQNF31khUVQw7N5AXvRBsUDY4mMN36jo,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #624200222,,https://api.stepn.com/run/nftjson/103/149141704621
6pEUiw5WTtLBpAXmLPwXpXm6yjvCKu3eS1gDRHdFDiuZ,84W8qxpchkfaX28j74jEHeHootQ7Edk2Ahfi6YRUxKVr,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,248,NonFungible,Sneaker #358030328,,https://api.stepn.com/run/nftjson/103/26602498023
